Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,52," 210,733,762 ",1%,55.75%,2.36,12%,0%,1,4.50%,11%,134.80,1,48,247262612,0.45%,84%,2.42,10.36%,0%,5,7%,12.50%,151.77,1,52,255791480,0%,865%,2.42,8.48%,0%,5,9.00%,8.80%,121.95,1,58,221011160,0.60%,160.41%,2.64,9.55%,0.00%,5,6.00%,7.00%,111.93,0,66," 207,116,833.00 ",0.48%,82.63%,0,9.08%,0.00%,0,5%,7%,109.51,0,55,214745044,0.50%,348.26%,0,9%,0%,0,5.00%,8.50%,102.55,0,59,186405936,0%,344%,0,7.27%,0.00%,0,6.00%,9.00%,101.88,0,59,163962211,0.52%,345.72%,0,11%,0%,0,0.05,0.1,103.37,0,65,140017488,1%,66%,0,10%,0%,0,7.00%,10.00%,101.78,0,52,156025634,0%,230%,0,8%,0%,0,7%,13%,103.78,0,0,0,0%,0%,0,0%,0%,0,7%,10%,101.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,1,158," 210,909,537 ",1%,361.19%,3.76,11%,2%,1,4.50%,11%,134.80,1,145,183161155,0.46%,185%,3.42,8.89%,0%,5,7%,12.50%,151.77,1,135,169284144,0%,113%,3.37,6.15%,1%,5,9.00%,8.80%,121.95,1,128,166696717,0.91%,469.46%,3.46,8.27%,0.00%,5,6.00%,7.00%,111.93,0,127," 146,496,629.00 ",0.54%,107.80%,0,7.79%,0.00%,0,5%,7%,109.51,0,141,144789516,0.53%,1191.89%,0,9%,0%,0,5.00%,8.50%,102.55,0,135,120605455,1%,505%,0,7.91%,0.00%,0,6.00%,9.00%,101.88,0,84,102410456,0.53%,384.28%,0,9%,0%,0,0.05,0.1,103.37,0,83,86190729,0%,362%,0,8%,0%,0,7.00%,10.00%,101.78,0,0,72704012,0%,385%,0,7%,0%,0,7%,13%,103.78,0,0,0,0%,0%,0,0%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,0," 500,280,975 ",1%,343.34%,3.21,17%,0%,5,4.50%,11%,134.80,1,92,422796568,1.09%,77%,3.09,-0.74%,0%,1,7%,12.50%,151.77,1,0,428633438,1%,92%,3.03,2.59%,0%,5,9.00%,8.80%,121.95,1,0,431685387,1.20%,256.34%,3.23,10.86%,0.00%,1,6.00%,7.00%,111.93,0,0," 385,310,172.00 ",1.13%,80.65%,0,8.10%,0.00%,0,5%,7%,109.51,0,90,402076236,1.05%,494.81%,0,15%,0%,0,5.00%,8.50%,102.55,0,92,334721833,1%,208%,0,8.77%,0.00%,0,6.00%,9.00%,101.88,0,0,306654388,1.09%,476.72%,0,11%,0%,0,0.05,0.1,103.37,0,0,261639551,1%,229%,0,7%,0%,0,7.00%,10.00%,101.78,0,0,238876083,1%,205%,0,2%,0%,0,7%,13%,103.78,0,0,225183128,1%,138%,0,7%,0%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,115," 225,944,094 ",1%,109.30%,2.19,9%,2%,1,4.50%,11%,134.80,1,179,221884859,0.42%,20%,2.19,8.73%,0%,5,7%,12.50%,151.77,1,0,437026148,1%,314%,2.34,9.88%,0%,5,9.00%,8.80%,121.95,1,173,378729915,0.38%,276.83%,2.62,8.74%,0.00%,5,6.00%,7.00%,111.93,0,101," 332,735,557.00 ",0.62%,270.58%,0,8.63%,0.00%,0,5%,7%,109.51,0,101,287327009,0.39%,500.85%,0,9%,0%,0,5.00%,8.50%,102.55,0,120,237288216,0%,1347%,0,9.62%,0.00%,0,6.00%,9.00%,101.88,0,101,189581992,0.29%,1090.37%,0,10%,0%,0,0.05,0.1,103.37,0,88,153588915,0%,539%,0,10%,0%,0,7.00%,10.00%,101.78,0,86,127498109,0%,313%,0,12%,0%,0,7%,13%,103.78,0,78,107762794,1%,544%,0,12%,1%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,1,226," 1,162,197,839 ",1%,125.81%,3.2,20%,0%,1,4.50%,11%,134.80,1,233,1079675658,1.30%,117%,3.2,3.22%,0%,1,7%,12.50%,151.77,1,242,1051093948,1%,281%,3.2,3.44%,0%,1,9.00%,8.80%,121.95,1,224,931598106,1.41%,323.25%,3.56,8.63%,0.00%,5,6.00%,7.00%,111.93,0,207," 778,989,906.00 ",1.53%,133.05%,0,6.03%,0.00%,0,5%,7%,109.51,0,180,739560086,1.43%,265.34%,0,12%,0%,0,5.00%,8.50%,102.55,0,177,631237125,1%,325%,0,7.57%,0.00%,0,6.00%,9.00%,101.88,0,176,539433284,1.40%,380.46%,0,11%,0%,0,0.05,0.1,103.37,0,171,437961810,1%,293%,0,8%,0%,0,7.00%,10.00%,101.78,0,151,370873479,1%,217%,0,4%,0%,0,7%,13%,103.78,0,153,333198841,1%,743%,0,21%,0%,0,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,1,127," 457,652,996 ",1%,203.92%,3.18,19%,0%,1,4.50%,11%,134.80,1,171,413673639,1.17%,26%,2.97,2.87%,0%,1,7%,12.50%,151.77,1,181,447924434,1%,1%,2.98,0.16%,0%,1,9.00%,8.80%,121.95,1,184,509602671,0.99%,98.43%,3.31,12.01%,0.00%,1,6.00%,7.00%,111.93,0,180," 510,576,901.00 ",0.96%,35.54%,0,6.27%,0.00%,0,5%,7%,109.51,0,205,568685569,1.21%,118.00%,0,17%,0%,0,5.00%,8.50%,102.55,0,234,553927774,1%,38%,0,3.48%,0.00%,0,6.00%,9.00%,101.88,0,250,585061158,0.91%,398.69%,0,17%,0%,0,0.05,0.1,103.37,0,290,511206416,1%,91%,0,8%,0%,0,7.00%,10.00%,101.78,0,317,514825813,1%,55%,0,3%,0%,0,7%,13%,103.78,,,,,,,,,,,,
103,Active,Defined Contribution,Provident Fund,Segregated funds,5,683," 3,699,966,688 ",1%,85.78%,3.82,4%,0%,5,4.50%,11%,134.80,5,705,3766131404,0.63%,58%,3.24,2.91%,0%,5,7%,12.50%,151.77,1,709,3989324593,1%,174%,2.56,14.35%,0%,5,9.00%,8.80%,121.95,5,710,3671469507,0.67%,96.43%,3.52,7.30%,0.00%,5,6.00%,7.00%,111.93,0,717," 3,688,240,016.00 ",0.77%,73.86%,0,5.20%,0.00%,0,5%,7%,109.51,0,723,3838366159,0.63%,106.94%,0,3%,0%,0,5.00%,8.50%,102.55,0,735,3823758180,1%,146%,0,18.19%,0.00%,0,6.00%,9.00%,101.88,0,750,3545472117,0.68%,77.71%,0,3%,0%,0,0.05,0.1,103.37,0,747,3635702451,1%,203%,0,8%,0%,0,7.00%,10.00%,101.78,0,747,3394363686,1%,380%,0,11%,0%,0,7%,13%,103.78,0,526,2972043103,1%,486%,0,19%,0%,0,7%,10%,101.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,5,165," 451,267,401 ",1%,273.26%,3.61,19%,0%,1,4.50%,11%,134.80,5,160,379850440,1.64%,51%,3.61,1.11%,0%,1,7%,12.50%,151.77,5,163,410114904,2%,150%,3.8,2.41%,0%,1,9.00%,8.80%,121.95,5,161,397292014,1.62%,213.74%,4.36,9.48%,0.00%,1,6.00%,7.00%,111.93,0,0," 361,985,379.00 ",1.65%,103.86%,0,5.76%,0.00%,0,5%,7%,109.51,0,163,360095383,1.64%,339.97%,0,11%,0%,0,5.00%,8.50%,102.55,0,0,307817981,2%,208%,0,8.11%,0.00%,0,6.00%,9.00%,101.88,0,159,277552044,1.65%,240.67%,0,10%,0%,0,0.05,0.1,103.37,0,160,239627812,2%,292%,0,7%,0%,0,7.00%,10.00%,101.78,0,147,206960781,2%,101%,0,3%,0%,0,7%,13%,103.78,0,3,9340824,8%,28%,0,36%,0%,0,7%,10%,101.78
1032,Active,Defined Benefit,Pension Scheme,Segregated funds,5,8365," 32,844,635,000 ",1%,13.92%,3.79,2%,0%,5,4.50%,11%,134.80,1,8550,36264579000,1.24%,188%,3.21,8.01%,0%,5,7%,12.50%,151.77,1,8766,34953382000,3%,218%,3.21,15.49%,0%,5,9.00%,8.80%,121.95,5,8883,32033252000,1.51%,-327.74%,4.21,-13.89%,0.00%,5,6.00%,7.00%,111.93,0,9328," 37,845,430,000.00 ",2.29%,469.60%,0,22.32%,0.00%,0,5%,7%,109.51,0,8778,34495110130,-0.89%,-170.84%,0,6%,0%,0,5.00%,8.50%,102.55,0,9956,36763184000,-80%,-9%,0,7.65%,0.00%,0,6.00%,9.00%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,153," 93,272,647 ",0%,279.14%,3.01,10%,1%,1,4.50%,11%,134.80,1,151,82192022,0.07%,237%,2.38,8.81%,1%,5,7%,12.50%,151.77,1,134,73949987,0%,908%,2.38,5.87%,0%,5,9.00%,8.80%,121.95,1,131,65158869,0.00%,3808.58%,2.72,8.01%,0.00%,5,6.00%,7.00%,111.93,0,141," 54,224,115.00 ",0.13%,386.55%,0,7.16%,0.00%,0,5%,7%,109.51,0,141,47530096,0.17%,2998.14%,0,9%,0%,0,5.00%,8.50%,102.55,0,134,39146317,1%,243%,0,7.93%,0.00%,0,6.00%,9.00%,101.88,0,125,34855003,0.56%,100.47%,0,9%,0%,0,0.05,0.1,103.37,0,125,34824783,1%,2174%,0,8%,0%,0,7.00%,10.00%,101.78,0,115,28368163,1%,107%,0,4%,0%,0,7%,13%,103.78,0,131,28110588,1%,259%,0,10%,0%,0,7%,10%,101.78
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,1,94," 710,710,361 ",1%,223.48%,2.94,12%,0%,5,4.50%,11%,134.80,1,97,648100861,1.27%,81%,2.94,6.52%,0%,5,7%,12.50%,151.77,1,104,664015688,1%,87%,2.95,2.21%,0%,5,9.00%,8.80%,121.95,1,107,670322686,1.16%,148.26%,3.4,14.58%,0.00%,5,6.00%,7.00%,111.93,0,98," 630,384,756.00 ",1.23%,246.18%,0,6.64%,0.00%,0,5%,7%,109.51,0,0,594191499,1.46%,138.03%,0,8%,0%,0,5.00%,8.50%,102.55,0,80,575814623,1%,212%,0,11.42%,0.00%,0,6.00%,9.00%,101.88,,,,,,,,,,,,,0,0,0,0%,0%,0,0%,0%,0,7.00%,10.00%,101.78,,,,,,,,,,,,,,,,,,,,,,,,
