Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets , 2024_ExpensesToTotalAssets Ratio ,2024_Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_Liquidity Ratio,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_Liquidity Ratio,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_Liquidity Ratio,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_Liquidity Ratio,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_Liquidity Ratio,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_Liquidity Ratio,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_Liquidity Ratio,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Inflation,2014_interest_rates,2014_exchange_rates
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,52," 210,733,762 ", 0.01 ,179.36%,236%,0.115860149,0%,1,4.50%,11%,134.80,1,48,247262612,0.45%,119%,2.42,10.36%,0%,5,7%,12.50%,151.77,1,52,255791480,0%,12%,2.42,8.48%,0%,5,9.00%,8.80%,121.95,1,58,221011160,0.60%,62.34%,2.64,9.55%,0.00%,5,6.00%,7.00%,111.93,66,207116833,0.48%,121.02%,9.08%,0.00%,5.00%,7.00%,109.51,55,214745044,0.50%,28.71%,8.94%,0.00%,5.00%,8.50%,102.55,59,186405936,0.47%,29.03%,7.27%,0.00%,6.00%,9.00%,101.88,59,163962211,0.52%,28.93%,10.68%,0.00%,5.00%,10.00%,103.37,65,140017488,0.59%,151.42%,9.83%,0.00%,7%,10%,101.78,52,156025634,0.46%,43.41%,7.67%,0.00%,7%,13%,103.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,10%,101.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,1,158," 210,909,537 ", 0.01 ,27.69%,376%,0.105465871,2%,1,4.50%,11%,134.80,1,145,183161155,0.46%,54%,3.42,8.89%,0%,5,7%,12.50%,151.77,1,135,169284144,0%,88%,3.37,6.15%,1%,5,9.00%,8.80%,121.95,1,128,166696717,0.91%,21.30%,3.46,8.27%,0.00%,5,6.00%,7.00%,111.93,127,146496629,0.54%,92.76%,7.79%,0.00%,5.00%,7.00%,109.51,141,144789516,0.53%,8.39%,8.91%,0.00%,5.00%,8.50%,102.55,135,120605455,0.59%,19.80%,7.91%,0.00%,6.00%,9.00%,101.88,84,102410456,0.53%,26.02%,8.79%,0.00%,5.00%,10.00%,103.37,83,86190729,0.04%,27.62%,7.81%,0.00%,7%,10%,101.78,0,72704012,0.00%,25.96%,6.98%,0.00%,7%,13%,103.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,0," 500,280,975 ", 0.01 ,29.13%,321%,0.173065956,0%,5,4.50%,11%,134.80,1,92,422796568,1.09%,129%,3.09,-0.74%,0%,1,7%,12.50%,151.77,1,0,428633438,1%,109%,3.03,2.59%,0%,5,9.00%,8.80%,121.95,1,0,431685387,1.20%,39.01%,3.23,10.86%,0.00%,1,6.00%,7.00%,111.93,0,385310172,1.13%,123.99%,8.10%,0.00%,5.00%,7.00%,109.51,90,402076236,1.05%,20.21%,15.07%,0.00%,5.00%,8.50%,102.55,92,334721833,1.11%,48.02%,8.77%,0.00%,6.00%,9.00%,101.88,0,306654388,1.09%,20.98%,11.26%,0.00%,5.00%,10.00%,103.37,0,261639551,0.86%,43.65%,7.10%,0.00%,7%,10%,101.78,0,238876083,0.61%,48.69%,1.93%,0.00%,7%,13%,103.78,0,225183128,0.65%,72.70%,7.33%,0.00%,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,115," 225,944,094 ", 0.01 ,91.49%,219%,0.090456545,2%,1,4.50%,11%,134.80,1,179,221884859,0.42%,504%,2.19,8.73%,0%,5,7%,12.50%,151.77,1,0,437026148,1%,32%,2.34,9.88%,0%,5,9.00%,8.80%,121.95,1,173,378729915,0.38%,36.12%,2.62,8.74%,0.00%,5,6.00%,7.00%,111.93,101,332735557,0.62%,36.96%,8.63%,0.00%,5.00%,7.00%,109.51,101,287327009,0.39%,19.97%,9.28%,0.00%,5.00%,8.50%,102.55,120,237288216,0.31%,7.42%,9.62%,0.00%,6.00%,9.00%,101.88,101,189581992,0.29%,9.17%,9.66%,0.00%,5.00%,10.00%,103.37,88,153588915,0.34%,18.56%,10.22%,0.00%,7%,10%,101.78,86,127498109,0.29%,31.92%,12.42%,0.00%,7%,13%,103.78,78,107762794,0.60%,18.38%,12.11%,0.94%,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,1,226," 1,162,197,839 ", 0.01 ,79.48%,320%,0.200580624,0%,1,4.50%,11%,134.80,1,233,1079675658,1.30%,85%,3.2,3.22%,0%,1,7%,12.50%,151.77,1,242,1051093948,1%,36%,3.2,3.44%,0%,1,9.00%,8.80%,121.95,1,224,931598106,1.41%,30.94%,3.56,8.63%,0.00%,5,6.00%,7.00%,111.93,207,778989906,1.53%,75.16%,6.03%,0.00%,5.00%,7.00%,109.51,180,739560086,1.43%,37.69%,11.76%,0.00%,5.00%,8.50%,102.55,177,631237125,1.39%,30.80%,7.57%,0.00%,6.00%,9.00%,101.88,176,539433284,1.40%,26.28%,11.29%,0.00%,5.00%,10.00%,103.37,171,437961810,1.43%,34.14%,7.61%,0.00%,7%,10%,101.78,151,370873479,1.42%,46.18%,3.71%,0.00%,7%,13%,103.78,153,333198841,1.43%,13.46%,20.78%,0.00%,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,1,127," 457,652,996 ", 0.01 ,49.04%,318%,0.188566365,0%,1,4.50%,11%,134.80,1,171,413673639,1.17%,388%,2.97,2.87%,0%,1,7%,12.50%,151.77,1,181,447924434,1%,8693%,2.98,0.16%,0%,1,9.00%,8.80%,121.95,1,184,509602671,0.99%,101.59%,3.31,12.01%,0.00%,1,6.00%,7.00%,111.93,180,510576901,0.96%,281.38%,6.27%,0.00%,5.00%,7.00%,109.51,205,568685569,1.21%,84.74%,17.01%,0.00%,5.00%,8.50%,102.55,234,553927774,0.99%,261.73%,3.48%,0.00%,6.00%,9.00%,101.88,250,585061158,0.91%,25.08%,17.31%,0.00%,5.00%,10.00%,103.37,290,511206416,1.01%,109.40%,7.53%,0.00%,7%,10%,101.78,317,514825813,0.96%,180.76%,3.05%,0.00%,7%,13%,103.78,,,,,,,,,
103,Active,Defined Contribution,Provident Fund,Segregated funds,5,683," 3,699,966,688 ", 0.01 ,116.58%,382%,0.04377681,0%,5,4.50%,11%,134.80,5,705,3766131404,0.63%,173%,3.24,2.91%,0%,5,7%,12.50%,151.77,1,709,3989324593,1%,57%,2.56,14.35%,0%,5,9.00%,8.80%,121.95,5,710,3671469507,0.67%,103.70%,3.52,7.30%,0.00%,5,6.00%,7.00%,111.93,717,3688240016,0.77%,135.40%,5.20%,0.00%,5.00%,7.00%,109.51,723,3838366159,0.63%,93.51%,3.16%,0.00%,5.00%,8.50%,102.55,735,3823758180,0.71%,68.34%,18.19%,0.00%,6.00%,9.00%,101.88,750,3545472117,0.68%,128.68%,2.61%,0.00%,5.00%,10.00%,103.37,747,3635702451,0.74%,49.18%,7.63%,0.00%,7%,10%,101.78,747,3394363686,0.81%,26.32%,11.41%,0.00%,7%,13%,103.78,526,2972043103,1.02%,20.57%,19.49%,0.00%,7%,10%,101.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,5,165," 451,267,401 ", 0.01 ,36.59%,361%,0.189401853,0%,1,4.50%,11%,134.80,5,160,379850440,1.64%,197%,3.61,1.11%,0%,1,7%,12.50%,151.77,5,163,410114904,2%,67%,3.8,2.41%,0%,1,9.00%,8.80%,121.95,5,161,397292014,1.62%,46.79%,4.36,9.48%,0.00%,1,6.00%,7.00%,111.93,0,361985379,1.65%,96.28%,5.76%,0.00%,5.00%,7.00%,109.51,163,360095383,1.64%,29.41%,11.29%,0.00%,5.00%,8.50%,102.55,0,307817981,1.62%,48.01%,8.11%,0.00%,6.00%,9.00%,101.88,159,277552044,1.65%,41.55%,10.48%,0.00%,5.00%,10.00%,103.37,160,239627812,1.64%,34.27%,6.86%,0.00%,7%,10%,101.78,147,206960781,1.78%,98.65%,3.29%,0.00%,7%,13%,103.78,3,9340824,8.00%,355.52%,36.16%,0.00%,7%,10%,101.78
1032,Active,Defined Benefit,Pension Scheme,Segregated funds,5,8365," 32,844,635,000 ", 0.01 ,718.16%,379%,0.016844303,0%,5,4.50%,11%,134.80,1,8550,36264579000,1.24%,53%,3.21,8.01%,0%,5,7%,12.50%,151.77,1,8766,34953382000,3%,46%,3.21,15.49%,0%,5,9.00%,8.80%,121.95,5,8883,32033252000,1.51%,-30.51%,4.21,-13.89%,0.00%,5,6.00%,7.00%,111.93,9328,37845430000,2.29%,21.29%,22.32%,0.00%,5.00%,7.00%,109.51,8778,34495110130,-0.89%,-58.54%,6.03%,0.00%,5.00%,8.50%,102.55,9956,36763184000,-79.62%,-1074.18%,7.65%,0.00%,6.00%,9.00%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,153," 93,272,647 ", 0.00 ,35.82%,301%,0.104406879,1%,1,4.50%,11%,134.80,1,151,82192022,0.07%,42%,2.38,8.81%,1%,5,7%,12.50%,151.77,1,134,73949987,0%,11%,2.38,5.87%,0%,5,9.00%,8.80%,121.95,1,131,65158869,0.00%,2.63%,2.72,8.01%,0.00%,5,6.00%,7.00%,111.93,141,54224115,0.13%,25.87%,7.16%,0.00%,5.00%,7.00%,109.51,141,47530096,0.17%,3.34%,8.91%,0.00%,5.00%,8.50%,102.55,134,39146317,0.51%,41.12%,7.93%,0.00%,6.00%,9.00%,101.88,125,34855003,0.56%,99.53%,9.48%,0.00%,5.00%,10.00%,103.37,125,34824783,0.61%,4.60%,7.85%,0.00%,7%,10%,101.78,115,28368163,0.66%,93.79%,3.76%,0.00%,7%,13%,103.78,131,28110588,1.06%,38.61%,10.15%,0.00%,7%,10%,101.78
1034,Active,Defined Contribution,Pension Scheme,Segregated funds,1,94," 710,710,361 ", 0.01 ,44.75%,294%,0.122849712,0%,5,4.50%,11%,134.80,1,97,648100861,1.27%,123%,2.94,6.52%,0%,5,7%,12.50%,151.77,1,104,664015688,1%,115%,2.95,2.21%,0%,5,9.00%,8.80%,121.95,1,107,670322686,1.16%,67.45%,3.4,14.58%,0.00%,5,6.00%,7.00%,111.93,98,630384756,1.23%,40.62%,6.64%,0.00%,5.00%,7.00%,109.51,0,594191499,1.46%,72.45%,7.91%,0.00%,5.00%,8.50%,102.55,80,575814623,1.32%,47.22%,11.42%,0.00%,6.00%,9.00%,101.88,,,,,,,,,,0,0,0.00%,0.00%,0.00%,0.00%,7%,10%,101.78,,,,,,,,,,,,,,,,,,
1037,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,0," 593,360,577 ", 0.01 ,33.96%,203%,0.116586967,0%,1,4.50%,11%,134.80,1,745,522573840,0.56%,95%,2.44,10.52%,0%,5,7%,12.50%,151.77,1,761,518697535,1%,70%,2.44,9.96%,0%,5,9.00%,8.80%,121.95,1,876,493443204,0.58%,34.22%,2.75,9.98%,0.00%,5,6.00%,7.00%,111.93,765,439048202,0.57%,121.03%,10.37%,0.00%,5.00%,7.00%,109.51,0,456144474,0.55%,37.33%,10.03%,0.00%,5.00%,8.50%,102.55,0,404820201,0.54%,35.28%,9.40%,0.00%,6.00%,9.00%,101.88,0,357967411,0.75%,46.16%,10.06%,0.00%,5.00%,10.00%,103.37,0,318427066,0.77%,39.16%,9.40%,0.00%,7%,10%,101.78,0,276969224,0.98%,25.13%,10.62%,0.00%,7%,13%,103.78,0,230599176,-0.03%,25.98%,10.22%,0.00%,7%,10%,101.78
1039,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,68," 168,430,488 ", 0.01 ,24.41%,216%,0.095375001,0%,1,4.50%,11%,134.80,1,68,142092809,0.49%,5%,2.85,9.27%,0%,5,7%,12.50%,151.77,1,61,112608323,1%,29%,3,4.54%,0%,5,9.00%,8.80%,121.95,1,40,99114041,1.06%,12.12%,2.64,8.65%,0.00%,5,6.00%,7.00%,111.93,58,80815466,0.70%,17.39%,6.31%,0.00%,5.00%,7.00%,109.51,60,68166888,0.65%,52.02%,8.80%,0.00%,5.00%,8.50%,102.55,51,60907276,0.71%,5.08%,7.78%,0.00%,6.00%,9.00%,101.88,51,48893144,0.20%,37.08%,8.60%,0.00%,5.00%,10.00%,103.37,36,41194771,0.20%,29.99%,4.77%,0.00%,7%,10%,101.78,46,36139802,0.23%,9.83%,2.11%,0.00%,7%,13%,103.78,45,30916119,0.20%,18.73%,6.63%,0.00%,7%,10%,101.78
