Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,52," 210,733,762.00 ",0.55%,56%,2.36,12%,0%,1,5%,11%,134.8,1,48," 247,262,612.00 ",0.45%,84%,2.42,10%,0%,5,7%,13%,151.77,1,52," 255,791,480.00 ",0.43%,865%,2.42,8%,0%,5,9%,9%,121.95,1,58," 221,011,160.00 ",0.60%,160%,2.64,10%,0%,5,6%,7%,111.93,0,66," 207,116,833.00 ",0.48%,83%,0,9%,0%,0,5%,7%,109.51,0,55," 214,745,044.00 ",0.50%,348%,0,9%,0%,0,5%,9%,102.55,0,59," 186,405,936.00 ",0.47%,344%,0,7%,0%,0,6%,9%,101.88,0,59," 163,962,211.00 ",0.52%,346%,0,11%,0%,0,5%,10%,103.37,0,65," 140,017,488.00 ",0.59%,66%,0,10%,0%,0,7%,10%,101.78,0,52," 156,025,634.00 ",0.46%,230%,0,8%,0%,0,7%,13%,103.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,1,158," 210,909,537.00 ",0.56%,361%,3.76,11%,2%,1,5%,11%,134.8,1,145," 183,161,155.00 ",0.46%,185%,3.42,9%,0%,5,7%,13%,151.77,1,135," 169,284,144.00 ",0.44%,113%,3.37,6%,1%,5,9%,9%,121.95,1,128," 166,696,717.00 ",0.91%,469%,3.46,8%,0%,5,6%,7%,111.93,0,127," 146,496,629.00 ",0.54%,108%,0,8%,0%,0,5%,7%,109.51,0,141," 144,789,516.00 ",0.53%,1192%,0,9%,0%,0,5%,9%,102.55,0,135," 120,605,455.00 ",0.59%,505%,0,8%,0%,0,6%,9%,101.88,0,84," 102,410,456.00 ",0.53%,384%,0,9%,0%,0,5%,10%,103.37,0,83," 86,190,729.00 ",0.04%,362%,0,8%,0%,0,7%,10%,101.78,0,0," 72,704,012.00 ",0.00%,385%,0,7%,0%,0,7%,13%,103.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,0," 500,280,975.00 ",0.72%,343%,3.21,17%,0%,5,5%,11%,134.8,1,92," 422,796,568.00 ",1.09%,77%,3.09,-1%,0%,1,7%,13%,151.77,1,0," 428,633,438.00 ",1.16%,92%,3.03,3%,0%,5,9%,9%,121.95,1,0," 431,685,387.00 ",1.20%,256%,3.23,11%,0%,1,6%,7%,111.93,0,0," 385,310,172.00 ",1.13%,81%,0,8%,0%,0,5%,7%,109.51,0,90," 402,076,236.00 ",1.05%,495%,0,15%,0%,0,5%,9%,102.55,0,92," 334,721,833.00 ",1.11%,208%,0,9%,0%,0,6%,9%,101.88,0,0," 306,654,388.00 ",1.09%,477%,0,11%,0%,0,5%,10%,103.37,0,0," 261,639,551.00 ",0.86%,229%,0,7%,0%,0,7%,10%,101.78,0,0," 238,876,083.00 ",0.61%,205%,0,2%,0%,0,7%,13%,103.78,0,0," 225,183,128.00 ",0.65%,138%,0,7%,0%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,115," 225,944,094.00 ",1.03%,109%,2.19,9%,2%,1,5%,11%,134.8,1,179," 221,884,859.00 ",0.42%,20%,2.19,9%,0%,5,7%,13%,151.77,1,0," 437,026,148.00 ",0.56%,314%,2.34,10%,0%,5,9%,9%,121.95,1,173," 378,729,915.00 ",0.38%,277%,2.62,9%,0%,5,6%,7%,111.93,0,101," 332,735,557.00 ",0.62%,271%,0,9%,0%,0,5%,7%,109.51,0,101," 287,327,009.00 ",0.39%,501%,0,9%,0%,0,5%,9%,102.55,0,120," 237,288,216.00 ",0.31%,1347%,0,10%,0%,0,6%,9%,101.88,0,101," 189,581,992.00 ",0.29%,1090%,0,10%,0%,0,5%,10%,103.37,0,88," 153,588,915.00 ",0.34%,539%,0,10%,0%,0,7%,10%,101.78,0,86," 127,498,109.00 ",0.29%,313%,0,12%,0%,0,7%,13%,103.78,0,78," 107,762,794.00 ",0.60%,544%,0,12%,1%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,1,226," 1,162,197,839.00 ",1.40%,126%,3.2,20%,0%,1,5%,11%,134.8,1,233," 1,079,675,658.00 ",1.30%,117%,3.2,3%,0%,1,7%,13%,151.77,1,242," 1,051,093,948.00 ",1.04%,281%,3.2,3%,0%,1,9%,9%,121.95,1,224," 931,598,106.00 ",1.41%,323%,3.56,9%,0%,5,6%,7%,111.93,0,207," 778,989,906.00 ",1.53%,133%,0,6%,0%,0,5%,7%,109.51,0,180," 739,560,086.00 ",1.43%,265%,0,12%,0%,0,5%,9%,102.55,0,177," 631,237,125.00 ",1.39%,325%,0,8%,0%,0,6%,9%,101.88,0,176," 539,433,284.00 ",1.40%,380%,0,11%,0%,0,5%,10%,103.37,0,171," 437,961,810.00 ",1.43%,293%,0,8%,0%,0,7%,10%,101.78,0,151," 370,873,479.00 ",1.42%,217%,0,4%,0%,0,7%,13%,103.78,0,153," 333,198,841.00 ",1.43%,743%,0,21%,0%,0,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,1,127," 457,652,996.00 ",0.81%,204%,3.18,19%,0%,1,5%,11%,134.8,1,171," 413,673,639.00 ",1.17%,26%,2.97,3%,0%,1,7%,13%,151.77,1,181," 447,924,434.00 ",1.12%,1%,2.98,0%,0%,1,9%,9%,121.95,1,184," 509,602,671.00 ",0.99%,98%,3.31,12%,0%,1,6%,7%,111.93,0,180," 510,576,901.00 ",0.96%,36%,0,6%,0%,0,5%,7%,109.51,0,205," 568,685,569.00 ",1.21%,118%,0,17%,0%,0,5%,9%,102.55,0,234," 553,927,774.00 ",0.99%,38%,0,3%,0%,0,6%,9%,101.88,0,250," 585,061,158.00 ",0.91%,399%,0,17%,0%,0,5%,10%,103.37,0,290," 511,206,416.00 ",1.01%,91%,0,8%,0%,0,7%,10%,101.78,0,317," 514,825,813.00 ",0.96%,55%,0,3%,0%,0,7%,13%,103.78,,,,,,,,,,,,
103,Active,Defined Contribution,Provident Fund,Segregated funds,5,683," 3,699,966,688.00 ",0.61%,86%,3.82,4%,0%,5,5%,11%,134.8,5,705," 3,766,131,404.00 ",0.63%,58%,3.24,3%,0%,5,7%,13%,151.77,1,709," 3,989,324,592.74 ",0.59%,174%,2.56,14%,0%,5,9%,9%,121.95,5,710," 3,671,469,507.00 ",0.67%,96%,3.52,7%,0%,5,6%,7%,111.93,0,717," 3,688,240,016.00 ",0.77%,74%,0,5%,0%,0,5%,7%,109.51,0,723," 3,838,366,159.00 ",0.63%,107%,0,3%,0%,0,5%,9%,102.55,0,735," 3,823,758,180.00 ",0.71%,146%,0,18%,0%,0,6%,9%,101.88,0,750," 3,545,472,117.00 ",0.68%,78%,0,3%,0%,0,5%,10%,103.37,0,747," 3,635,702,451.00 ",0.74%,203%,0,8%,0%,0,7%,10%,101.78,0,747," 3,394,363,686.00 ",0.81%,380%,0,11%,0%,0,7%,13%,103.78,0,526," 2,972,043,103.00 ",1.02%,486%,0,19%,0%,0,7%,10%,101.78
1030,Active,Defined Contribution,Pension Scheme,Segregated funds,5,165," 451,267,401.00 ",1.43%,273%,3.61,19%,0%,1,5%,11%,134.8,5,160," 379,850,440.00 ",1.64%,51%,3.61,1%,0%,1,7%,13%,151.77,5,163," 410,114,904.00 ",1.73%,150%,3.8,2%,0%,1,9%,9%,121.95,5,161," 397,292,014.00 ",1.62%,214%,4.36,9%,0%,1,6%,7%,111.93,0,0," 361,985,379.00 ",1.65%,104%,0,6%,0%,0,5%,7%,109.51,0,163," 360,095,383.00 ",1.64%,340%,0,11%,0%,0,5%,9%,102.55,0,0," 307,817,981.00 ",1.62%,208%,0,8%,0%,0,6%,9%,101.88,0,159," 277,552,044.00 ",1.65%,241%,0,10%,0%,0,5%,10%,103.37,0,160," 239,627,812.00 ",1.64%,292%,0,7%,0%,0,7%,10%,101.78,0,147," 206,960,781.00 ",1.78%,101%,0,3%,0%,0,7%,13%,103.78,0,3," 9,340,824.00 ",8.00%,28%,0,36%,0%,0,7%,10%,101.78
1032,Active,Defined Benefit,Pension Scheme,Segregated funds,5,8365," 32,844,635,000.00 ",1.03%,14%,3.79,2%,0%,5,5%,11%,134.8,1,8550," 36,264,579,000.00 ",1.24%,188%,3.21,8%,0%,5,7%,13%,151.77,1,8766," 34,953,382,000.00 ",2.69%,218%,3.21,15%,0%,5,9%,9%,121.95,5,8883," 32,033,252,000.00 ",1.51%,-328%,4.21,-14%,0%,5,6%,7%,111.93,0,9328," 37,845,430,000.00 ",2.29%,470%,0,22%,0%,0,5%,7%,109.51,0,8778," 34,495,110,130.00 ",0.89%,171%,0,6%,0%,0,5%,9%,102.55,0,9956," 36,763,184,000.00 ",79.62%,9%,0,8%,0%,0,6%,9%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,153," 93,272,647.00 ",0.08%,279%,3.01,10%,1%,1,5%,11%,134.8,1,151," 82,192,022.00 ",0.07%,237%,2.38,9%,1%,5,7%,13%,151.77,1,134," 73,949,987.00 ",0.09%,908%,2.38,6%,0%,5,9%,9%,121.95,1,131," 65,158,869.00 ",0.00%,3809%,2.72,8%,0%,5,6%,7%,111.93,0,141," 54,224,115.00 ",0.13%,387%,0,7%,0%,0,5%,7%,109.51,0,141," 47,530,096.00 ",0.17%,2998%,0,9%,0%,0,5%,9%,102.55,0,134," 39,146,317.00 ",0.51%,243%,0,8%,0%,0,6%,9%,101.88,0,125," 34,855,003.00 ",0.56%,100%,0,9%,0%,0,5%,10%,103.37,0,125," 34,824,783.00 ",0.61%,2174%,0,8%,0%,0,7%,10%,101.78,0,115," 28,368,163.00 ",0.66%,107%,0,4%,0%,0,7%,13%,103.78,0,131," 28,110,588.00 ",1.06%,259%,0,10%,0%,0,7%,10%,101.78
